"Identifier","Conditions","Message","Choice1","Choice2","Outro1","Outro2"
"CTA1","location:current:hometown","{name}, you live in {location:hometown:name}, a small village {location:hometown:feature:relativeposition}. You work {industry:hometown:workplace} every day, {industry:hometown:goodsGer} enough {industry:hometown:goods} {industry:hometown:purpose} your small village.

{location:pick:mountain:current:pathtobaron}{location:pick:fortress:pathtobaron:baronhome}{character:pick:baronhome:antagonist:baron}One day, a messenger rides into town. ""Citizens of {location:hometown:name}, the {almanac:[character-baron-baron] [character-baron-name]:lays claim to [location-hometown-namewiththe]}{character:baron:baron} {character:baron:name} lays claim to your city. You are now under {character:baron:possPronoun} rule and will pay taxes and fealty to {character:baron:objPronoun}.""{|SET:baronclaimshometown:true|}

What do you do?{character:pick:pathtobaron:mentor:ranger}","Leave {location:hometown:name} to tell the {character:baron:baron} that {character:baron:subPronoun} doesn't own you","Go to work like always and see if anything changes","You set out for the {character:baron:baron}'s home, {location:baronhome:namewiththe}.{almanac:[location-baronhome-namewiththe]:the home of [character-baron-baron] [character-baron-name]}{almanac:[character-baron-baron] [character-baron-name]:lives in [location-baronhome-namewiththe]} You know the way, which leads through the nearby {location:pathtobaron:name}.{almanac:[location-pathtobaron-namewiththe-cap]:a [location-pathtobaron-type] that lies near [location-hometown-name]}{|GOTO:pathtobaron|}{|SET:goal:baronhome|}{|MTM|}","{industry:hometown:goodday} {|ROC|}"
"ROC1","character:baron&baronclaimshometown:true&location:current:hometown","The next week, the {character:baron:baron}'s men arrive. They are soldiers, well-armed and uniformed, with the insignia of the {character:baron:baron} on their jackets.

They say they're here to collect taxes, but they take so much more than that. They eat food they don't pay for, destroy property that isn't theirs, and leer at young men and women.

In the morning, your friend {character:pick:hometown:friend:taken}{character:taken:name} is missing. {character:taken:possPronoun:cap} family says that {character:taken:subPronoun} was taken to {character:baron:baron} {character:baron:name}'s {location:baronhome:name}{almanac:[location-baronhome-namewiththe]:the home of [character-baron-baron] [character-baron-name]}{almanac:[character-baron-baron] [character-baron-name]:lives in [location-baronhome-namewiththe]} by {character:baron:possPronoun} men. They don't know when, or if, {character:taken:subPronoun} will return.{|SET:goal:baronhome|}","Set out for {location:baronhome:namewiththe} immediately","Start a fight with the {character:baron:baron}'s men","{|GOTO:pathtobaron|}You {if:location:current:forest:slink}{if:location:current:swamp:slink}{if:location:current:mountain:set out}{if:location:current:plains:set out} into the nearby {location:current:name}{almanac:[location-pathtobaron-namewiththe-cap]:a [location-pathtobaron-type] that lies near [location-hometown-name]} in the night, setting your course straight for {location:goal:namewiththe}.","You find a group of the {character:baron:baron}'s men in the tavern drinking. As one of them turns to you, your first blow lands squarely on his jaw. An all-out brawl breaks out. You give as good as you get, but in the end there are too many of them.{|SET:baronbarfight:true|}

""I'll take care of {objPronoun},"" you hear a voice say.{|GOTO:pathtobaron|}{|MTM|}"
"MTM1.1","character:baron&baronclaimshometown:true&goal:baronhome&character:ranger&location:current:forest|location:current:swamp|location:current:mountain|location:current:plains&baronbarfight:false","That day, {if:location:current:forest:deep in}{if:location:current:swamp:deep in}{if:location:current:mountain:high in}{if:location:current:plains:far into} {location:current:namewiththe}, {if:location:current:forest:a [character-ranger-sexAge] emerges from behind the trees}{if:location:current:swamp:a [character-ranger-sexAge] emerges from behind the trees, wading through the [location-current-type]}{if:location:current:mountain:a [character-ranger-sexAge] emerges from behind a rocky outcrop}{if:location:current:plains:you suddenly see a [character-ranger-sexAge] walking among the tall grass, right beside you}. {character:ranger:subPronoun:cap}'s wearing rough clothing.{|MTM1a|}",,,,
"MTM1.2","character:baron&baronclaimshometown:true&goal:baronhome&character:ranger&location:current:forest|location:current:swamp|location:current:mountain|location:current:plains&baronbarfight:true","Rough hands carry you out of town {if:location:current:forest:into}{if:location:current:swamp:into}{if:location:current:mountain:to the base of}{if:location:current:plains:into} the nearby {location:pathtobaron:name}{almanac:[location-pathtobaron-namewiththe-cap]:a [location-pathtobaron-type] that lies near [location-hometown-name]}. You pass out.

You wake up the next day, {if:location:current:forest:deep in}{if:location:current:swamp:deep in}{if:location:current:mountain:looking up at}{if:location:current:plains:in} {location:current:namewiththe}. A {character:ranger:sexAge} sits {if:location:current:forest:under a nearby tree}{if:location:current:swamp:under a nearby tree, vines hanging above}{if:location:current:mountain:against a nearby boulder}{if:location:current:plains:in the grass nearby}. {character:ranger:subPronoun:cap}'s wearing rough clothing. As you open your eyes, {character:ranger:subPronoun} says, ""Hope you appreciate I saved your life. That was kind of a stupid fight to start, you know?{|MTM1a|}",,,,
"MTM1a",,"""My name's {character:ranger:name},""{almanac:[character-ranger-name]:a mysterious [character-ranger-sexAge] somewhere in [location-current-namewiththe]} {character:ranger:subPronoun} says. ""{location:hometown:name}'s not the first village that {character:baron:baron} {character:baron:name}'s taken control of. {character:baron:subPronoun:cap}'ll stop at nothing until the whole region is under {character:baron:possPronoun} control. We can't let that happen.

""If you want to stop {character:baron:objPronoun} and get back {location:hometown:name}, you'll have to make it to {location:baronhome:namewiththe}.""","Ask {character:ranger:name} for {character:ranger:possPronoun} help","Set off for {location:baronhome:namewiththe} (you know the way)","""I'm sorry, I can't go near the {character:baron:baron}'s {location:baronhome:type:cap} myself. {character:baron:subPronoun:cap} and {character:baron:possPronoun} goons'll be looking for me. But here, you take this."" {character:ranger:subPronoun:cap} hands you piece of rolled cloth. ""It might be useful."" With that, {character:ranger:name} disappears into the {location:current:type}. {|GIVE:map:A cloth map:shows a hidden path into [location-baronhome-namewiththe]|}

The cloth, once unrolled, looks like some sort of map of a secret entrance into the {character:baron:baron}'s {location:baronhome:type:cap}. You roll it up again and put it in your pack.

You travel through {location:current:namewiththe} for several days.","You walk into the {location:current:type}, headed for {location:goal:namewiththe}. ""Good luck with the {character:baron:baron},"" {character:ranger:name} calls after you.

You travel through {location:current:namewiththe} for several days."
"CTT1.1","location:current:forest|location:current:plains","A wide river blocks your path to {location:goal:namewiththe}. The water is deep and moving fast.","Wade through the rushing water","Look for another way around","You wade through the rushing water. It comes up to your armpits. You hold your pack above your head.

It takes every ounce of your strength, but you make it across. On the other side, you're soaked to the bone and exhausted. You rest for an hour while your clothes dry.

Once you're ready, you continue on your way to {location:goal:namewiththe}.","You walk along the river's edge until you find {if:location:current:forest:an enormous tree trunk lying across the river. It looks as though someone has recently cut it down.}{if:location:current:plains:a number of long wooden planks lying across the river. You wonder who put them there.} You're able to nimbly walk across the {if:location:current:forest:log}{if:location:current:plains:planks} and cross the river.

On the other side, you continue on your way to {location:goal:namewiththe}."
"CTT1.2","location:current:mountain|location:current:plains","A fast-rushing river blocks your path to {location:goal:namewiththe}. The water is deep and moving fast. You can see stepping stones barely visible under the surface of the water.","Cross on the stepping stones","Look for a better place to cross farther up","You step very carefully on each stone. Planting your feet solidly on each stone before stepping to the next one, you make it about halfway across the river. Suddenly, a stone that you were stepping on comes loose, careening down the raging river and taking you along with it.

You get several bruises before you're able to catch yourself, much further downstream.{if:item:pack: Your pack is swept downstream; your bedroll, all your food, and anything else you had in your pack is gone. You'll have to forage for food and sleep on the ground from now on.[|REMOVE-pack|][|REMOVE-map|]}

You drag yourself to the other side of the river. You're sore all over, and can't move for hours.

Once you feel almost ready, you climb back up the river's edge to the path and continue on your way to {location:goal:namewiththe}.","You climb up the rocks along the river's edge until you find an enormous tree trunk lying across the river. It looks as though someone has recently cut it down. You're able to nimbly walk across the log and cross the river.

Climbing back down, you find the path again and continue on your way to {location:goal:namewiththe}."
"CTT2.1","location:current:forest|location:current:swamp","A long, tall wall runs across your path to {location:goal:namewiththe}, {if:location:current:forest:at least 15 feet tall}{if:location:current:swamp:still standing despite the base of it being buried in muck}. Its stones are old and falling apart, but it might collapse on top of you if you try to climb it.","Climb the wall here","Look for a gap in the wall somewhere else","You pull stones out of the wall as you climb, and they clatter {if:location:current:forest:to the ground below}{if:location:current:swamp:into the muck beneath} you. The wall shifts and sways as you climb, but miraculously doesn't collapse. When you get to the top and descend on the other side, you can hear stones skidding out of place behind you{if:location:current:swamp: and plopping into the [location-current-type], never to be seen again}.

You continue on your way to {location:goal:namewiththe}.","Farther along the wall, you find {if:location:current:forest:a tall tree with a branch leaning over the wall. You climb the tree, edge out along the branch, and drop down on the other side of the wall.}{if:location:current:swamp:a number of thick vines that have grown up over the stones here. You take hold of the vines, pulling yourself carefully to the top before letting yourself down the other side. Your feet squelch when they hit the ground.}

Once over the wall, you continue on your way to {location:goal:namewiththe}."
"BOTW1.1","character:baron&baronclaimshometown:true&goal:baronhome&character:ranger&location:current:forest|location:current:swamp|location:current:mountain","{if:location:current:forest:The [location-current-type] is dense here, overgrown and difficult to travel through.}{if:location:current:swamp:Your path lies through a fetid [location-current-type], overgrown with vines. The humidity is stifling and flies swarm everywhere.}{if:location:current:mountain:Your path lies through a rocky mountain pass, with few trees and little greenery along the way.}

After a day or so, you hear footsteps {if:location:current:forest:crashing through the brush}{if:location:current:swamp:sloshing through the murky water}{if:location:current:mountain:coming over the next ridge}. They're getting nearer.","Hide {if:location:current:forest:in the brush}{if:location:current:swamp:in a nearby bush}{if:location:current:mountain:behind a boulder} and wait","Seek out the footsteps","You {if:location:current:forest:find a clump of bushes to hide inside}{if:location:current:swamp:climb into a nearby bush and try to make yourself invisible, then wait}{if:location:current:mountain:find two boulders to hide between}. As the footsteps get closer, you see two dozen of the {character:baron:baron}'s armed men tramping {if:location:current:forest:through the underbrush}{if:location:current:swamp:through the [location-current-type]}{if:location:current:mountain:down the mountain, toward you}.

You hold your breath, but one of them {if:location:current:forest:stumbles}{if:location:current:swamp:stumbles}{if:location:current:mountain:comes} just too close to you.

""What do we have here?"" he says. He grabs you roughly by the shoulder and jerks you to your feet. ""Well, well, well, the {character:baron:baron} will be THRILLED to meet you!"" Cheers erupt.{|BOTW1a|}","{if:location:current:forest:You tramp through the underbrush towards the sound of footsteps, getting closer as you hike.}{if:location:current:swamp:You pick your way through the [location-current-type] on some of the more solid patches, getting closer to the sound of footsteps.}{if:location:current:mountain:You make your way over loose rocks and boulders, getting closer to the footsteps as you climb.} Then, {if:location:current:forest:through the trees}{if:location:current:swamp:through the trees and vines}{if:location:current:mountain:over the next rise}, two dozen of the {character:baron:baron}'s men in uniform emerge.

One of them grabs you roughly by the shoulder. ""What do we have here?"" he says. ""Well, well, well, the {character:baron:baron} will be THRILLED to meet you!"" Cheers erupt.{|BOTW1a|}"
"BOTW1.2","character:baron&baronclaimshometown:true&goal:baronhome&character:ranger&location:current:plains","Your path lies through a vast grassland, marked by trees very infrequently. The sun beats down from above, and tall grass obscures your view of the ground you're walking on.

After a day or so, you see a group making its way in your direction, wading through the tall grass. They're getting nearer.","Lie down and try to hide in the tall grass","Go to meet the group","You move to the side and lie down in a particularly dense patch of grass. Hopefully, they'll pass by you without noticing you. Your head is down, so you can't see who's approaching.

Whoever they are, one of them stumbles just a bit too close to you..

""What do we have here?"" he says. He grabs you roughly by the shoulder and jerks you to your feet. Now you can see who the group is: two dozen of the {character:baron:baron}'s men in uniform. ""Well, well, well, the {character:baron:baron} will be THRILLED to meet you!"" Cheers erupt.{|BOTW1a|}","You pick your way towards the group approaching you, being careful to avoid a hidden dip in the terrain. As you get closer, you recognize who they are: two dozen of the {character:baron:baron}'s men in uniform.

When they see you so close, they run up to meet you before you have a chance to react. One of them grabs you roughly by the shoulder. ""What do we have here?"" he says. ""Well, well, well, the {character:baron:baron} will be THRILLED to meet you!"" Cheers erupt. {|BOTW1a|}"
